,date,time,comp,round,day,venue,gf,ga,opponent,poss,sh,save%,season,team
2,2016-08-26,20:30,Bundesliga,Matchweek 1,Fri,Home,6,0,Werder Bremen,71.0,28.0,100.0,2017,Bayern Munich
3,2016-09-09,20:30,Bundesliga,Matchweek 2,Fri,Away,2,0,Schalke 04,69.0,18.0,100.0,2017,Bayern Munich
5,2016-09-17,15:30,Bundesliga,Matchweek 3,Sat,Home,3,1,Ingolstadt 04,69.0,10.0,80.0,2017,Bayern Munich
6,2016-09-21,20:00,Bundesliga,Matchweek 4,Wed,Home,3,0,Hertha BSC,76.0,16.0,100.0,2017,Bayern Munich
7,2016-09-24,15:30,Bundesliga,Matchweek 5,Sat,Away,1,0,Hamburger SV,69.0,17.0,100.0,2017,Bayern Munich
9,2016-10-01,15:30,Bundesliga,Matchweek 6,Sat,Home,1,1,Köln,68.0,26.0,50.0,2017,Bayern Munich
10,2016-10-15,15:30,Bundesliga,Matchweek 7,Sat,Away,2,2,Eint Frankfurt,62.0,14.0,50.0,2017,Bayern Munich
12,2016-10-22,18:30,Bundesliga,Matchweek 8,Sat,Home,2,0,M'Gladbach,63.0,17.0,,2017,Bayern Munich
14,2016-10-29,15:30,Bundesliga,Matchweek 9,Sat,Away,3,1,Augsburg,75.0,16.0,66.7,2017,Bayern Munich
16,2016-11-05,15:30,Bundesliga,Matchweek 10,Sat,Home,1,1,Hoffenheim,66.0,21.0,66.7,2017,Bayern Munich
17,2016-11-19,18:30,Bundesliga,Matchweek 11,Sat,Away,0,1,Dortmund,67.0,18.0,75.0,2017,Bayern Munich
19,2016-11-26,18:30,Bundesliga,Matchweek 12,Sat,Home,2,1,Leverkusen,56.0,13.0,75.0,2017,Bayern Munich
20,2016-12-02,20:30,Bundesliga,Matchweek 13,Fri,Away,3,1,Mainz 05,73.0,15.0,66.7,2017,Bayern Munich
22,2016-12-10,15:30,Bundesliga,Matchweek 14,Sat,Home,5,0,Wolfsburg,68.0,19.0,100.0,2017,Bayern Munich
23,2016-12-18,15:30,Bundesliga,Matchweek 15,Sun,Away,1,0,Darmstadt 98,79.0,14.0,100.0,2017,Bayern Munich
24,2016-12-21,20:00,Bundesliga,Matchweek 16,Wed,Home,3,0,RB Leipzig,76.0,24.0,100.0,2017,Bayern Munich
25,2017-01-20,20:30,Bundesliga,Matchweek 17,Fri,Away,2,1,Freiburg,75.0,13.0,66.7,2017,Bayern Munich
26,2017-01-28,15:30,Bundesliga,Matchweek 18,Sat,Away,2,1,Werder Bremen,64.0,13.0,75.0,2017,Bayern Munich
27,2017-02-04,15:30,Bundesliga,Matchweek 19,Sat,Home,1,1,Schalke 04,60.0,12.0,66.7,2017,Bayern Munich
29,2017-02-11,15:30,Bundesliga,Matchweek 20,Sat,Away,2,0,Ingolstadt 04,71.0,17.0,,2017,Bayern Munich
31,2017-02-18,15:30,Bundesliga,Matchweek 21,Sat,Away,1,1,Hertha BSC,71.0,16.0,50.0,2017,Bayern Munich
32,2017-02-25,15:30,Bundesliga,Matchweek 22,Sat,Home,8,0,Hamburger SV,72.0,18.0,100.0,2017,Bayern Munich
34,2017-03-04,15:30,Bundesliga,Matchweek 23,Sat,Away,3,0,Köln,75.0,20.0,100.0,2017,Bayern Munich
36,2017-03-11,15:30,Bundesliga,Matchweek 24,Sat,Home,3,0,Eint Frankfurt,72.0,16.0,100.0,2017,Bayern Munich
37,2017-03-19,17:30,Bundesliga,Matchweek 25,Sun,Away,1,0,M'Gladbach,69.0,18.0,100.0,2017,Bayern Munich
38,2017-04-01,15:30,Bundesliga,Matchweek 26,Sat,Home,6,0,Augsburg,74.0,21.0,100.0,2017,Bayern Munich
39,2017-04-04,20:00,Bundesliga,Matchweek 27,Tue,Away,0,1,Hoffenheim,64.0,21.0,75.0,2017,Bayern Munich
40,2017-04-08,18:30,Bundesliga,Matchweek 28,Sat,Home,4,1,Dortmund,71.0,18.0,50.0,2017,Bayern Munich
42,2017-04-15,18:30,Bundesliga,Matchweek 29,Sat,Away,0,0,Leverkusen,72.0,21.0,100.0,2017,Bayern Munich
44,2017-04-22,15:30,Bundesliga,Matchweek 30,Sat,Home,2,2,Mainz 05,75.0,19.0,66.7,2017,Bayern Munich
46,2017-04-29,18:30,Bundesliga,Matchweek 31,Sat,Away,6,0,Wolfsburg,61.0,17.0,100.0,2017,Bayern Munich
47,2017-05-06,15:30,Bundesliga,Matchweek 32,Sat,Home,1,0,Darmstadt 98,67.0,23.0,100.0,2017,Bayern Munich
48,2017-05-13,15:30,Bundesliga,Matchweek 33,Sat,Away,5,4,RB Leipzig,61.0,20.0,40.0,2017,Bayern Munich
49,2017-05-20,15:30,Bundesliga,Matchweek 34,Sat,Home,4,1,Freiburg,66.0,33.0,87.5,2017,Bayern Munich
1,2016-08-28,17:30,Bundesliga,Matchweek 1,Sun,Away,2,2,Hoffenheim,44.0,23.0,60.0,2017,RB Leipzig
2,2016-09-10,18:30,Bundesliga,Matchweek 2,Sat,Home,1,0,Dortmund,34.0,10.0,,2017,RB Leipzig
3,2016-09-17,15:30,Bundesliga,Matchweek 3,Sat,Away,4,0,Hamburger SV,37.0,13.0,100.0,2017,RB Leipzig
4,2016-09-21,20:00,Bundesliga,Matchweek 4,Wed,Home,1,1,M'Gladbach,43.0,9.0,0.0,2017,RB Leipzig
5,2016-09-25,17:45,Bundesliga,Matchweek 5,Sun,Away,1,1,Köln,55.0,12.0,50.0,2017,RB Leipzig
6,2016-09-30,20:30,Bundesliga,Matchweek 6,Fri,Home,2,1,Augsburg,57.0,17.0,50.0,2017,RB Leipzig
7,2016-10-16,17:30,Bundesliga,Matchweek 7,Sun,Away,1,0,Wolfsburg,45.0,13.0,100.0,2017,RB Leipzig
8,2016-10-23,15:30,Bundesliga,Matchweek 8,Sun,Home,3,1,Werder Bremen,61.0,22.0,66.7,2017,RB Leipzig
9,2016-10-29,15:30,Bundesliga,Matchweek 9,Sat,Away,2,0,Darmstadt 98,66.0,12.0,,2017,RB Leipzig
10,2016-11-06,15:30,Bundesliga,Matchweek 10,Sun,Home,3,1,Mainz 05,50.0,15.0,66.7,2017,RB Leipzig
11,2016-11-18,20:30,Bundesliga,Matchweek 11,Fri,Away,3,2,Leverkusen,43.0,11.0,50.0,2017,RB Leipzig
12,2016-11-25,20:30,Bundesliga,Matchweek 12,Fri,Away,4,1,Freiburg,48.0,16.0,66.7,2017,RB Leipzig
13,2016-12-03,18:30,Bundesliga,Matchweek 13,Sat,Home,2,1,Schalke 04,47.0,14.0,80.0,2017,RB Leipzig
14,2016-12-10,15:30,Bundesliga,Matchweek 14,Sat,Away,0,1,Ingolstadt 04,70.0,13.0,50.0,2017,RB Leipzig
15,2016-12-17,15:30,Bundesliga,Matchweek 15,Sat,Home,2,0,Hertha BSC,64.0,16.0,,2017,RB Leipzig
16,2016-12-21,20:00,Bundesliga,Matchweek 16,Wed,Away,0,3,Bayern Munich,24.0,4.0,80.0,2017,RB Leipzig
17,2017-01-21,18:30,Bundesliga,Matchweek 17,Sat,Home,3,0,Eint Frankfurt,71.0,17.0,100.0,2017,RB Leipzig
18,2017-01-28,15:30,Bundesliga,Matchweek 18,Sat,Home,2,1,Hoffenheim,61.0,14.0,50.0,2017,RB Leipzig
19,2017-02-04,18:30,Bundesliga,Matchweek 19,Sat,Away,0,1,Dortmund,44.0,2.0,66.7,2017,RB Leipzig
20,2017-02-11,15:30,Bundesliga,Matchweek 20,Sat,Home,0,3,Hamburger SV,68.0,15.0,40.0,2017,RB Leipzig
21,2017-02-19,15:30,Bundesliga,Matchweek 21,Sun,Away,2,1,M'Gladbach,42.0,9.0,0.0,2017,RB Leipzig
22,2017-02-25,15:30,Bundesliga,Matchweek 22,Sat,Home,3,1,Köln,52.0,13.0,0.0,2017,RB Leipzig
23,2017-03-03,20:30,Bundesliga,Matchweek 23,Fri,Away,2,2,Augsburg,67.0,12.0,0.0,2017,RB Leipzig
24,2017-03-11,15:30,Bundesliga,Matchweek 24,Sat,Home,0,1,Wolfsburg,57.0,11.0,80.0,2017,RB Leipzig
