,date,time,comp,round,day,venue,gf,ga,opponent,poss,sh,save%,total_att,total_cmp%,att,blocks,season,team
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,3.0,2.0,RB Leipzig,44.0,11.0,66.7,475.0,80.0,22.0,14.0,2024,Bayer Leverkusen
2,2023-08-26,18:30,Bundesliga,Matchweek 2,Sat,Away,3.0,0.0,M'Gladbach,60.0,24.0,100.0,740.0,87.7,16.0,9.0,2024,Bayer Leverkusen
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,5.0,1.0,Darmstadt 98,72.0,25.0,0.0,812.0,89.5,26.0,10.0,2024,Bayer Leverkusen
4,2023-09-15,20:30,Bundesliga,Matchweek 4,Fri,Away,2.0,2.0,Bayern Munich,49.0,12.0,77.8,601.0,85.2,33.0,9.0,2024,Bayer Leverkusen
6,2023-09-24,15:30,Bundesliga,Matchweek 5,Sun,Home,4.0,1.0,Heidenheim,71.0,20.0,50.0,865.0,90.1,23.0,11.0,2024,Bayer Leverkusen
7,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Away,3.0,0.0,Mainz 05,55.0,6.0,100.0,637.0,86.7,20.0,16.0,2024,Bayer Leverkusen
9,2023-10-08,15:30,Bundesliga,Matchweek 7,Sun,Home,3.0,0.0,Köln,64.0,23.0,100.0,775.0,91.0,23.0,17.0,2024,Bayer Leverkusen
10,2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Away,2.0,1.0,Wolfsburg,58.0,13.0,83.3,656.0,86.0,21.0,8.0,2024,Bayer Leverkusen
12,2023-10-29,17:30,Bundesliga,Matchweek 9,Sun,Home,2.0,1.0,Freiburg,70.0,18.0,66.7,764.0,88.4,27.0,10.0,2024,Bayer Leverkusen
14,2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Away,3.0,2.0,Hoffenheim,53.0,9.0,71.4,599.0,85.8,20.0,5.0,2024,Bayer Leverkusen
16,2023-11-12,15:30,Bundesliga,Matchweek 11,Sun,Home,4.0,0.0,Union Berlin,69.0,18.0,100.0,858.0,90.3,15.0,9.0,2024,Bayer Leverkusen
17,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Away,3.0,0.0,Werder Bremen,59.0,14.0,100.0,780.0,86.3,21.0,8.0,2024,Bayer Leverkusen
19,2023-12-03,17:30,Bundesliga,Matchweek 13,Sun,Home,1.0,1.0,Dortmund,69.0,23.0,50.0,729.0,82.6,30.0,7.0,2024,Bayer Leverkusen
21,2023-12-10,15:30,Bundesliga,Matchweek 14,Sun,Away,1.0,1.0,Stuttgart,48.0,18.0,90.0,563.0,84.5,32.0,16.0,2024,Bayer Leverkusen
23,2023-12-17,17:30,Bundesliga,Matchweek 15,Sun,Home,3.0,0.0,Eint Frankfurt,61.0,14.0,100.0,786.0,86.3,27.0,7.0,2024,Bayer Leverkusen
24,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Home,4.0,0.0,Bochum,69.0,15.0,100.0,785.0,87.0,19.0,13.0,2024,Bayer Leverkusen
25,2024-01-13,15:30,Bundesliga,Matchweek 17,Sat,Away,1.0,0.0,Augsburg,76.0,24.0,,848.0,88.0,23.0,7.0,2024,Bayer Leverkusen
26,2024-01-20,18:30,Bundesliga,Matchweek 18,Sat,Away,3.0,2.0,RB Leipzig,60.0,18.0,66.7,679.0,88.5,15.0,12.0,2024,Bayer Leverkusen
27,2024-01-27,18:30,Bundesliga,Matchweek 19,Sat,Home,0.0,0.0,M'Gladbach,75.0,28.0,100.0,1004.0,90.2,18.0,9.0,2024,Bayer Leverkusen
1,2023-08-18,20:30,Bundesliga,Matchweek 1,Fri,Away,4.0,0.0,Werder Bremen,72.0,25.0,100.0,707.0,89.0,41.0,7.0,2024,Bayern Munich
2,2023-08-27,17:30,Bundesliga,Matchweek 2,Sun,Home,3.0,1.0,Augsburg,61.0,18.0,50.0,657.0,85.5,24.0,8.0,2024,Bayern Munich
3,2023-09-02,18:30,Bundesliga,Matchweek 3,Sat,Away,2.0,1.0,M'Gladbach,65.0,25.0,66.7,695.0,86.0,40.0,12.0,2024,Bayern Munich
4,2023-09-15,20:30,Bundesliga,Matchweek 4,Fri,Home,2.0,2.0,Leverkusen,51.0,16.0,80.0,634.0,85.0,21.0,21.0,2024,Bayern Munich
6,2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Home,7.0,0.0,Bochum,62.0,25.0,100.0,616.0,86.7,37.0,4.0,2024,Bayern Munich
8,2023-09-30,18:30,Bundesliga,Matchweek 6,Sat,Away,2.0,2.0,RB Leipzig,65.0,10.0,0.0,727.0,87.9,42.0,11.0,2024,Bayern Munich
10,2023-10-08,17:30,Bundesliga,Matchweek 7,Sun,Home,3.0,0.0,Freiburg,69.0,21.0,,815.0,89.0,21.0,9.0,2024,Bayern Munich
11,2023-10-21,18:30,Bundesliga,Matchweek 8,Sat,Away,3.0,1.0,Mainz 05,62.0,13.0,66.7,646.0,85.8,28.0,9.0,2024,Bayern Munich
13,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Home,8.0,0.0,Darmstadt 98,54.0,29.0,100.0,536.0,88.1,29.0,13.0,2024,Bayern Munich
15,2023-11-04,18:30,Bundesliga,Matchweek 10,Sat,Away,4.0,0.0,Dortmund,51.0,14.0,100.0,554.0,86.5,23.0,14.0,2024,Bayern Munich
17,2023-11-11,15:30,Bundesliga,Matchweek 11,Sat,Home,4.0,2.0,Heidenheim,72.0,19.0,0.0,834.0,87.8,29.0,11.0,2024,Bayern Munich
18,2023-11-24,20:30,Bundesliga,Matchweek 12,Fri,Away,1.0,0.0,Köln,68.0,21.0,100.0,815.0,88.6,29.0,9.0,2024,Bayern Munich
20,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Away,1.0,5.0,Eint Frankfurt,64.0,20.0,16.7,713.0,88.4,26.0,18.0,2024,Bayern Munich
22,2023-12-17,19:30,Bundesliga,Matchweek 15,Sun,Home,3.0,0.0,Stuttgart,38.0,17.0,100.0,456.0,80.5,27.0,14.0,2024,Bayern Munich
23,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Away,2.0,1.0,Wolfsburg,61.0,21.0,75.0,697.0,86.8,28.0,9.0,2024,Bayern Munich
24,2024-01-12,20:30,Bundesliga,Matchweek 17,Fri,Home,3.0,0.0,Hoffenheim,61.0,27.0,100.0,695.0,87.8,28.0,15.0,2024,Bayern Munich
